Lea State,LEA,School State,School,ID,Year,Category,Total,With State Certification,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total Students,SWD (IDEA-Eligible),LEP
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Classroom Teachers,64.00,63.00,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Classroom teachers in their first year of teaching,3.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Classroom teachers in their second year of teaching,1.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Teachers absent more than 10 days of the school year,14.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Teachers employed during current school year,65.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Teachers employed during both the current and previous school year,59.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,High-School Counselors,2.00,,,,,,,,,,,
GA,Cobb County,GA,Pitner Elementary School,130129002841,2015,Total enrollment,,,2.00,40.00,0.00,148.00,253.00,397.00,61.00,901.00,170.00,70.00
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Classroom Teachers,66.18,66.18,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Classroom teachers in their first year of teaching,2.76,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Classroom teachers in their second year of teaching,0.00,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Teachers absent more than 10 days of the school year,11.00,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Teachers employed during current school year,67.00,,,,,,,,,,,
GA,Cherokee County,GA,Clark Creek Elementary School,130111004072,2015,Teachers employed during both the current and previous school year,53.00,,,,,,,,,,,
